entry_idx,exit_idx,total_pnl_atr,long_pnl,short_pnl,holding_bars,entry_time,exit_time,symbol,gate_prob,date,pnl_after_cost
1807,1808,0.4558437294814446,1.2116874589627529,-0.29999999999986376,1,2025-01-08 13:38:00,2025-01-08 13:39:00,QQQ,0.6348623633384705,2025-01-08,0.4158437294814446
1850,1851,-0.007837640915737881,0.28432471816857485,-0.3000000000000506,1,2025-01-08 14:21:00,2025-01-08 14:22:00,QQQ,0.408713698387146,2025-01-08,-0.04783764091573788
1857,1858,0.03372742953221672,0.3674548590643292,-0.29999999999989574,1,2025-01-08 14:28:00,2025-01-08 14:29:00,QQQ,0.800000011920929,2025-01-08,-0.0062725704677832825
1956,1957,0.732090545938707,0.34828855643446655,1.1158925354429476,1,2025-01-10 09:37:00,2025-01-10 09:38:00,QQQ,0.4174528121948242,2025-01-10,0.692090545938707
2009,2010,0.19647840160738136,-0.29999999999995414,0.6929568032147169,1,2025-01-10 10:30:00,2025-01-10 10:31:00,QQQ,0.5859213471412659,2025-01-10,0.15647840160738136
2011,2012,0.2182656081217647,-0.29999999999997207,0.7365312162435015,1,2025-01-10 10:32:00,2025-01-10 10:33:00,QQQ,0.5428571701049805,2025-01-10,0.1782656081217647
2013,2014,0.07035610109760573,-0.30000000000001825,0.4407122021952297,1,2025-01-10 10:34:00,2025-01-10 10:35:00,QQQ,0.408713698387146,2025-01-10,0.030356101097605732
2019,2020,-0.02453845420096215,-0.29999999999999555,0.25092309159807125,1,2025-01-10 10:40:00,2025-01-10 10:41:00,QQQ,0.504273533821106,2025-01-10,-0.06453845420096216
2027,2028,-0.06490409449358568,0.17019181101284672,-0.3000000000000181,1,2025-01-10 10:48:00,2025-01-10 10:49:00,QQQ,0.5,2025-01-10,-0.10490409449358568
2047,2048,0.28569624556802653,0.43140511923848296,0.13998737189757007,1,2025-01-10 11:08:00,2025-01-10 11:09:00,QQQ,0.4319654703140259,2025-01-10,0.24569624556802652
2131,2132,-0.07696784748008637,0.14606430503974766,-0.2999999999999204,1,2025-01-10 12:32:00,2025-01-10 12:33:00,QQQ,0.4174528121948242,2025-01-10,-0.11696784748008637
2134,2135,0.45741003117035994,0.3906615031014557,0.5241585592392642,1,2025-01-10 12:35:00,2025-01-10 12:36:00,QQQ,0.6348623633384705,2025-01-10,0.41741003117035996
2136,2137,0.5626593072652776,1.0195726999286705,0.10574591460188458,1,2025-01-10 12:37:00,2025-01-10 12:38:00,QQQ,0.536796510219574,2025-01-10,0.5226593072652775
2138,2139,0.26895156561511246,0.31278292482710773,0.22512020640311717,1,2025-01-10 12:39:00,2025-01-10 12:40:00,QQQ,0.5428571701049805,2025-01-10,0.22895156561511246
2141,2142,0.22899889231506027,0.7579977846301368,-0.30000000000001625,1,2025-01-10 12:42:00,2025-01-10 12:43:00,QQQ,0.5859213471412659,2025-01-10,0.18899889231506026
2148,2149,0.10608609641041875,-0.2999999999999385,0.512172192820776,1,2025-01-10 12:49:00,2025-01-10 12:50:00,QQQ,0.5268816947937012,2025-01-10,0.06608609641041874
2157,2158,-0.019914704093855845,0.2601705918123238,-0.3000000000000355,1,2025-01-10 12:58:00,2025-01-10 12:59:00,QQQ,0.536796510219574,2025-01-10,-0.059914704093855846
2173,2174,0.21879787560004035,-0.3000000000000213,0.737595751200102,1,2025-01-10 13:14:00,2025-01-10 13:15:00,QQQ,0.536796510219574,2025-01-10,0.17879787560004035
2187,2188,0.6258925093108745,0.7973041621868056,0.45448085643494335,1,2025-01-10 13:28:00,2025-01-10 13:29:00,QQQ,0.6348623633384705,2025-01-10,0.5858925093108744
2214,2215,0.18050871780153868,0.6610174356031296,-0.3000000000000523,1,2025-01-10 13:55:00,2025-01-10 13:56:00,QQQ,0.536796510219574,2025-01-10,0.14050871780153867
2217,2218,0.33403092582812655,-0.2999999999999739,0.968061851656227,1,2025-01-10 13:58:00,2025-01-10 13:59:00,QQQ,0.5859213471412659,2025-01-10,0.29403092582812657
2229,2230,0.5152412920801768,0.47644483362521545,0.5540377505351382,1,2025-01-10 14:10:00,2025-01-10 14:11:00,QQQ,0.408713698387146,2025-01-10,0.4752412920801768
2269,2270,0.7496057593418504,1.3582634711877857,0.14094804749591502,1,2025-01-10 14:50:00,2025-01-10 14:51:00,QQQ,0.5268816947937012,2025-01-10,0.7096057593418503
2345,2346,0.6743256266828743,0.2570338503114507,1.091617403054298,1,2025-01-13 09:36:00,2025-01-13 09:37:00,QQQ,0.5268816947937012,2025-01-13,0.6343256266828743
